run_id	index	total	runs	algorithm	folder	returncode	elapsed_s
20260508-194835	4	45	10	lzssraw	image_sources/generated/1360x480	0	4.394
20260508-194835	19	45	10	lzssraw	image_sources/photos/1360x480	0	2.680
20260508-194835	25	45	10	lzssraw	image_sources/photos/296x128	0	0.358
20260508-194835	14	45	10	lzssraw	image_sources/generated/800x480	0	3.635
20260508-194835	26	45	10	lzssraw	image_sources/photos/400x300	0	0.679
20260508-194835	1	45	10	lzssraw	image_sources/generated/1024x576	0	5.563
20260508-194835	27	45	10	lzssraw	image_sources/photos/600x448	0	1.215
20260508-194835	28	45	10	lzssraw	image_sources/photos/648x480	0	1.403
20260508-194835	15	45	10	lzssraw	image_sources/generated/960x640	0	4.995
20260508-194835	32	45	10	lzssraw	image_sources/stress/122x250	0	0.595
20260508-194835	29	45	10	lzssraw	image_sources/photos/800x480	0	1.735
20260508-194835	33	45	10	lzssraw	image_sources/stress/128x296	0	0.594
20260508-194835	35	45	10	lzssraw	image_sources/stress/152x296	0	0.567
20260508-194835	38	45	10	lzssraw	image_sources/stress/200x200	0	0.578
20260508-194835	31	45	10	lzssraw	image_sources/stress/1024x576	0	1.961
20260508-194835	30	45	10	lzssraw	image_sources/photos/960x640	0	2.619
20260508-194835	40	45	10	lzssraw	image_sources/stress/296x128	0	0.614
20260508-194835	34	45	10	lzssraw	image_sources/stress/1360x480	0	2.111
20260508-194835	41	45	10	lzssraw	image_sources/stress/400x300	0	0.909
20260508-194835	42	45	10	lzssraw	image_sources/stress/600x448	0	1.199
20260508-194835	43	45	10	lzssraw	image_sources/stress/648x480	0	1.222
20260508-194835	44	45	10	lzssraw	image_sources/stress/800x480	0	1.348
20260508-194835	21	45	10	lzssraw	image_sources/photos/1600x1200	0	7.384
20260508-194835	45	45	10	lzssraw	image_sources/stress/960x640	0	1.652
20260508-194835	36	45	10	lzssraw	image_sources/stress/1600x1200	0	4.746
20260508-194835	22	45	10	lzssraw	image_sources/photos/1872x1404	0	9.492
20260508-194835	6	45	10	lzssraw	image_sources/generated/1600x1200	0	12.549
20260508-194835	37	45	10	lzssraw	image_sources/stress/1872x1404	0	6.158
20260508-194835	39	45	10	lzssraw	image_sources/stress/2560x1440	0	7.508
20260508-194835	24	45	10	lzssraw	image_sources/photos/2560x1440	0	11.986
20260508-194835	7	45	10	lzssraw	image_sources/generated/1872x1404	0	15.858
20260508-194835	9	45	10	lzssraw	image_sources/generated/2560x1440	0	24.255
20260508-200217	3	45	10	heatshrinkraw	image_sources/generated/128x296	0	0.504
20260508-200217	2	45	10	heatshrinkraw	image_sources/generated/122x250	0	0.560
20260508-200217	5	45	10	heatshrinkraw	image_sources/generated/152x296	0	0.595
20260508-200217	8	45	10	heatshrinkraw	image_sources/generated/200x200	0	0.755
20260508-200217	10	45	10	heatshrinkraw	image_sources/generated/296x128	0	0.790
20260508-200217	17	45	10	heatshrinkraw	image_sources/photos/122x250	0	0.403
20260508-200217	11	45	10	heatshrinkraw	image_sources/generated/400x300	0	1.414
20260508-200217	18	45	10	heatshrinkraw	image_sources/photos/128x296	0	0.435
20260508-200217	20	45	10	heatshrinkraw	image_sources/photos/152x296	0	0.545
20260508-200217	12	45	10	heatshrinkraw	image_sources/generated/600x448	0	2.668
20260508-200217	13	45	10	heatshrinkraw	image_sources/generated/648x480	0	2.811
20260508-200217	23	45	10	heatshrinkraw	image_sources/photos/200x200	0	0.377
20260508-200217	16	45	10	heatshrinkraw	image_sources/photos/1024x576	0	3.449
20260508-200217	14	45	10	heatshrinkraw	image_sources/generated/800x480	0	3.876
20260508-200217	25	45	10	heatshrinkraw	image_sources/photos/296x128	0	0.415
20260508-200217	4	45	10	heatshrinkraw	image_sources/generated/1360x480	0	4.665
20260508-200217	19	45	10	heatshrinkraw	image_sources/photos/1360x480	0	3.772
20260508-200217	26	45	10	heatshrinkraw	image_sources/photos/400x300	0	0.871
