
===== [20260508-142929 8/225] g5 image_sources/generated/122x250 =====
algorithm variant file resolution input_bytes compressed_bytes ratio avg_ms
average_ratio=7.59%

===== [20260508-142929 12/225] heatshrink image_sources/generated/128x296 =====
algorithm variant file resolution input_bytes compressed_bytes ratio avg_ms
heatshrink w9-l4 dashboard-mixed-density.gray16.128x296.bs-od 128x296 18944 2774 14.64% 0.296
heatshrink w11-l5 dashboard-mixed-density.gray16.128x296.bs-od 128x296 18944 2137 11.28% 0.694
heatshrink w13-l6 dashboard-mixed-density.gray16.128x296.bs-od 128x296 18944 1835 9.69% 2.390
heatshrink w9-l4 dashboard-mixed-density.gray4.128x296.bs-od 128x296 9472 1509 15.93% 0.164
heatshrink w11-l5 dashboard-mixed-density.gray4.128x296.bs-od 128x296 9472 1203 12.70% 0.503
heatshrink w13-l6 dashboard-mixed-density.gray4.128x296.bs-od 128x296 9472 1055 11.14% 1.199
heatshrink w9-l4 dashboard-mixed-density.mono.128x296.bs-od 128x296 4736 771 16.28% 0.073
heatshrink w11-l5 dashboard-mixed-density.mono.128x296.bs-od 128x296 4736 629 13.28% 0.252
heatshrink w13-l6 dashboard-mixed-density.mono.128x296.bs-od 128x296 4736 542 11.44% 0.478
heatshrink w9-l4 floorplan-thin-lines.gray16.128x296.bs-od 128x296 18944 2298 12.13% 0.231
