
===== [1/135] zlib image_sources/generated/1024x576 =====
algorithm variant file resolution input_bytes compressed_bytes ratio avg_ms
heatshrink w9-l4 price-tag-electronics-promo.mono.122x250.bs-od 122x250 4000 698 17.45% 0.038
heatshrink w11-l5 price-tag-electronics-promo.mono.122x250.bs-od 122x250 4000 585 14.62% 0.118
heatshrink w13-l6 price-tag-electronics-promo.mono.122x250.bs-od 122x250 4000 514 12.85% 0.193
heatshrink w9-l4 price-tag-grocery-shelf.gray16.122x250.bs-od 122x250 15250 2850 18.69% 0.328
heatshrink w11-l5 price-tag-grocery-shelf.gray16.122x250.bs-od 122x250 15250 2448 16.05% 0.858
heatshrink w13-l6 price-tag-grocery-shelf.gray16.122x250.bs-od 122x250 15250 2325 15.25% 2.176
heatshrink w9-l4 price-tag-grocery-shelf.gray4.122x250.bs-od 122x250 7750 1461 18.85% 0.109
heatshrink w11-l5 price-tag-grocery-shelf.gray4.122x250.bs-od 122x250 7750 1259 16.25% 0.388
heatshrink w13-l6 price-tag-grocery-shelf.gray4.122x250.bs-od 122x250 7750 1189 15.34% 0.712
heatshrink w9-l4 price-tag-grocery-shelf.mono.122x250.bs-od 122x250 4000 707 17.68% 0.038
heatshrink w11-l5 price-tag-grocery-shelf.mono.122x250.bs-od 122x250 4000 587 14.67% 0.116
heatshrink w13-l6 price-tag-grocery-shelf.mono.122x250.bs-od 122x250 4000 526 13.15% 0.248
heatshrink w9-l4 price-tag-warehouse-markdown.gray16.122x250.bs-od 122x250 15250 2104 13.80% 0.091
heatshrink w11-l5 price-tag-warehouse-markdown.gray16.122x250.bs-od 122x250 15250 1499 9.83% 0.206
heatshrink w13-l6 price-tag-warehouse-markdown.gray16.122x250.bs-od 122x250 15250 1145 7.51% 0.548
heatshrink w9-l4 price-tag-warehouse-markdown.gray4.122x250.bs-od 122x250 7750 1162 14.99% 0.054
heatshrink w11-l5 price-tag-warehouse-markdown.gray4.122x250.bs-od 122x250 7750 880 11.35% 0.151
heatshrink w13-l6 price-tag-warehouse-markdown.gray4.122x250.bs-od 122x250 7750 730 9.42% 0.284
heatshrink w9-l4 price-tag-warehouse-markdown.mono.122x250.bs-od 122x250 4000 774 19.35% 0.045
heatshrink w11-l5 price-tag-warehouse-markdown.mono.122x250.bs-od 122x250 4000 682 17.05% 0.123
heatshrink w13-l6 price-tag-warehouse-markdown.mono.122x250.bs-od 122x250 4000 640 16.00% 0.363
